link,name,price,rating,description,manual,country
https://goldapple.ru/19000139405-eau-de-parfum-rhubay,DARLING* Eau de Parfum Rhubay,5 700₽,4.6,"Если бы ты могла заключить в сосуд всплеск эйфории от яркой и классной вечеринки, это был бы флакон RHUBAY. Этот аромат всегда будет вызывать у тебя улыбку, пробуждая воспоминания о самых бурных романах и сокровенных удовольствиях. Представь: свидание в цветущем саду, искрящееся шампанское и ванильные свечи, горящие всю ночь. RHUBAY идеален для ярких личностей, похитительниц сердец и неисправимых оптимисток в розовых очках. Сделано во Франции.",Распылите на основные точки пульса. Не втирайте.,не указана
https://goldapple.ru/19000174055-yellow-22cm-5-mm,"VENEW yellow 22cm, 5 mm",не указана,0.0,"Фибровые палочки желтые толстые. Фиброволокно прекрасно впитывает и отдает аромат. Это синтетическое пористое вещество, ароматические эссенции впитывает равномерно и быстро. Аромат распространяется в пространстве пленяющим шлейфом. Палочки используются только с арома-композициями, диффузорами и другими ёмкостями для парфюмерных жидкостей. Ознакомьтесь со всей линейкой парфюма VENEW, кликнув по бренду. Ароматизатор для дома с палочками заиграет для вас новыми красками.","Избавьте палочки от упаковки, вставьте в диффузор или ёмкость с арома-композицией. Через несколько минут переверните палочки. Регулировать интенсивность отдачи аромата в воздух очень легко. Если нужно более нежное, невесомое звучание, часть палочек уберите. Чтобы сделать запах более насыщенным – добавьте больше. При смене жидкости в диффузоре обязательно ставьте новые палочки.",не указана
https://goldapple.ru/19000257262-bois-imperial-refillable-limited-edition,ESSENTIAL PARFUMS PARIS Bois imperial refillable limited edition,11 980₽,4.7,"Лимитированная версия аромата BOIS IMPERIAL — совместный выпуск ESSENTIAL PARFUMS и «Золотого Яблока». Парфюмер – Quentin Bisch. «Центром созданного мной аромата стала необыкновенная и редкая нота – акигалвуд. Эта уникальная древесная нота, украшенная свежими специями, играет на контрастах». Чувственный и свежий аромат ESSENTIAL PARFUMS с древесными, пряными и зелеными аккордами дополняют насыщенный гаитянский ветивер, пачули и нота Ambrofix со стойким звучанием амбры. Свежие листья базилика сочетаются с игривым ароматом перца Тимут, который раскрывает не только острую грань, но и свежую ноту, напоминающую грейпфрут. В составе парфюмерной воды – 93% натуральных ингредиентов. Создатели ароматов ESSENTIAL PARFUMS выбирают натуральные, экологически чистые материалы и стремятся снизить воздействие на окружающую среду. Флакон парфюмерной воды подходит для многоразового использования, и его можно пополнять из рефила.",Только для наружного применения.,не указана
https://goldapple.ru/19000196140-signoria-90-anniversario,WALLY 1925 Signoria - 90° anniversario,54 000₽,0.0,"Безусловно в сочетании культуры и истории Тосканы присутствут некое очарование, без которого не обошлось при создании уникального парфюма Signoria: золотистая жидкость с амбровым и пряным звучанием и с нотами фиалки, бергамота, лаванды и гвоздики.","Окуните все палочки во флакон; для более интенсивного распространения аромата переворачивайте палочки несколько раз в день. Регулировать аромат можно уменьшая или увеличивая число палочек. Палочки играют основную роль в интенсивности ароматизации, чем больше палочек, тем аромат насыщеннее. Для достижения лучших результатов, флакон не стоит никогда выставлять на прямой солнечный свет или ставить рядом с источниками тепла, так как под его воздействием происходит испарение аромата.",не указана
https://goldapple.ru/19000348850-red-grapes,TONKA PERFUMES MOSCOW RED GRAPES,9 025₽,0.0,"Название аромата Red Grapes, или «Красный Виноград», ассоциируется с терпким красным вином в сверкающем хрустальном фужере и отсылает к теплым зимним вечерам, проведенным в кругу самых близких возле уютного камина. Верхние ноты сочного аромата спелого красного винограда и ягод черной смородины, подчеркнутые южным дыханием экзотических цветов иланг-иланга и жасмина оттеняются пряностью базовой композиции: черного перца, табачного листа и теплым звучанием сандалового дерева и мадагаскарской ванили.",1.Снять защитное каучуковое кольцо. 2.Используйте крышку в качестве подставки для горящей свечи. 3.Включить свечу с помощью зажигалки во избежание нарушения парфюмерной композиции. 4.Продолжительность горения свечи: Первое горение свечи - 1.5-2 часа. Все последующие - не менее часа.,не указана
https://goldapple.ru/83810100007-magic-circus,MIN NEW YORK MAGIC CIRCUS,32 130₽,4.7,"Передвижной цирк путешествует в сумерках. За ним повсюду следует аромат древесных опилок и карамели. В удивительном круговороте чар смешались пачули, лабданум, герань и орехи. Представление началось, и под куполом цирка завораживающе звучат верхние ноты: бергамот, розовый перец, ананас и сахарная вата. Великолепный гурманский аромат MiN NEW YORK Magic Circus – это бесконечный карнавал, над которым не властно время.",не указана,не указана
https://goldapple.ru/19000138440-dylan-purple-pour-femme,VERSACE DYLAN PURPLE pour femme,11 400₽,4.5,"Яркий и элегантный аромат Dylan Purple приглашает в увлекательное парфюмерное путешествие. Дуэт искрящегося бергамота и пробуждающих радость нот свежего апельсина встречается с сочной грушей, которая придает композиции игривое звучание. В сердце аромата яркой вспышкой раскрывается пленительная фрезия. Нежный аромат её лепестков подчеркивают невесомые молекулы Mahonial и Pomarose. Цветочное сердце композиции VERSACE олицетворяет гипнотическую ауру морского заката, пурпурное свечение и лёгкий бриз. Молекулы Belambre и Ambrofix, мягкие оттенки Iso E Super и сливочные грани кедра идеально дополняют изысканный и глубокий характер аромата. Silkolide добавляет композиции легкие мускусные и фруктовые акценты. Классификация аромата – цветочный фруктовый мускусный. Парфюмер – Кристоф Рейно.",не указана,Италия
https://goldapple.ru/19000195380-black-35cm-5-mm,"VENEW black 35cm, 5 mm",не указана,0.0,"Длинные фибровые палочки толстые черного цвета. Длина 35 см, диаметр 5 мм. Фиброволокно прекрасно впитывает и отдает аромат. Это синтетическое пористое вещество, ароматические эссенции впитывает равномерно и быстро. Аромат распространяется в пространстве пленящим шлейфом. Палочки используются только с арома-композициями, диффузорами и другими ёмкостями для парфюмерных жидкостей.","Избавьте палочки от упаковки, вставьте в диффузор или ёмкость с арома-композицией. Через несколько минут переверните палочки. Регулировать интенсивность отдачи аромата в воздух очень легко. Если нужно более нежное, невесомое звучание, часть палочек уберите. Чтобы сделать запах более насыщенным – добавьте больше. При смене жидкости в диффузоре обязательно ставьте новые палочки.",КОМ. 13
https://goldapple.ru/99000024773-noir,12 LEGENDS Noir,не указана,0.0,"Noir - интригующий, элегантный и богатый аромат, он начинается с пряного оттенка шалфея и нотки цитрусовых. Лаванда придает мягкое цветочное и травяное прикосновение в сердце этого букета, а дубовый мох, амбра и бобы тонка дополняют базу, создавая красивый и глубокий характер. До 80 ч горения. Свеча упакована в фирменную подарочную коробку черного цвета с бархатным ложементом, идеально для подарка.","Использовать для ароматизации помещения. Зажигайте свечу не меньше 1 часа, необходимо , чтобы воск растапливался по всей поверхности свечи, от стенки до стенки подсвечника, иначе образуется туннель в воске. Перед каждым зажжением свечи, удаляйте обгоревший участок фитиля, он должен быть не больше 5-6 мм. Не жгите свечу более 3 часов, это ведет к перегреву подсвечника, в результате чего он может лопнуть или потерять внешний вид. Не оставляйте свечу без присмотра. Берегите от детей и домашних животных.",не указана
https://goldapple.ru/19000132890-linen-vetiver,BANANA REPUBLIC LINEN VETIVER,6 110₽,4.5,"Элегантная парфюмерная композиция Linen Vetiver от Banana Republic – это ослепительный взрыв искрящихся цитрусовых, цветочных и современных зеленых нот. Базовые ноты ветивера, амбры и мускуса делают аромат более насыщенным, многогранным и впечатляюще стойким. Днём и ночью, в любой ситуации и любых обстоятельствах – изысканный Linen Vetiver всегда кажется уместным и оставляет приятное впечатление. Парфюмер – Gino Percontino. Семейство аромата: древесный ароматический",Только для наружного применения.,не указана
